pub_id,title,type,bibtex,author,editor,isbn,url,date,urldate,booktitle,issuetitle,journal,volume,number,pages,publisher,address,edition,chapter,institution,organization,school,series,crossref,abstract,howpublished,key,techtype,comment,note,image_url,doi,is_isbn,rel_page,status,added,modified,use_capabilites,import_id
1017,CRC-Aided  Soft-Output Detection for Uplink Multi-user MIMO Systems With One-Bit ADCs,inproceedings,Park2019b,S. Song; S.-C. Lim; G. Kwon; H. Park ,,,,2019-01-18,0000-00-00,"IEEE Wireless Communications and Networking Conference(WCNC 2019), Marrakech, Morocco, 2019.",,,,,,,,,,,,,,,,,,,,,,,1,0,published,2019-01-21 15:17:35,2019-09-16 19:14:52,,0
1000,Design on the Waveform for QAM-FBMC System in the Presence of Residual CFO,inproceedings,Park2019,H. Han; H. Park,,,,2019-01-11,0000-00-00,IEEE Consumer Communications Networking Conference (IEEE CCNC 2019),,"The 16th IEEE Annual Consumer Communications Networking Conference (IEEE CCNC 2019), Las Vegas, USA",,,,,,,,,,,,,,,,,,,,,1,0,published,2018-09-27 13:26:53,2019-01-25 13:17:34,,0
991,Maximizing Ergodic Throughput in Wireless Powered Communication Networks,inproceedings,Park2018b,Arman Ahmadian; H. Park,,,,2018-12-09,0000-00-00,"IEEE Global Communications Conference (Globecom 2018),  Abu Dhabi, UAE, 2018.",,"IEEE Global Communications Conference (Globecom 2018), Abu Dhabi, UAE, 2018",,,,,,,,,,,,,,,,,,,,,1,0,published,2018-07-23 16:41:01,2019-01-21 15:07:59,,
996,5G K-Simulator: Link Level Simulator for 5G,inproceedings,Park2018b,"Giseung Park, Sangwoo Park, Junyeong Seo, Jungho So, Woowan Wang, Seungmin Yoo, Seung-Chan Lim, Jihoon Chung, Myungsik Cho, Daehan Ha, Joonhyuk Kang, Hyuncheol Park, and Youngchul Sung",,,,2018-10-22,0000-00-00,"IEEE International Symposium on Dynamic Spectrum Access Networks (IEEE DySPAN 2018), Seoul, South Korea.",,,,,,,,,,,,,,,,,,,,,,,1,0,published,2018-08-27 13:36:50,2019-01-21 15:08:35,,
985,Time Reversal Scheme Using Multiple Transmit Antennas for SWIPT in Indoor Channel,inproceedings,Park2018,H. An; H. Park,,,,2018-09-09,0000-00-00,"The 29th Annual IEEE International Symposium on Personal, Indoor and Mobile Radio Communications (IEEE PIMRC 2018), Bologna, Italy",,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications (IEEE PIMRC 2018),  Bologna, Italy",,,,,,,,,,,,,,,,,,,,,1,0,published,2018-06-25 17:48:02,2019-01-21 15:09:03,,
986,Performance of Analog Equalizer in Wideband LoS MIMO Systems,inproceedings,Jun2018,"S. Jun, G. Kwon; H.park",,,,2018-08-22,0000-00-00,"The 15th IEEE Vehicular Technology Society Asia Pacific Wireless Communication Symposium (IEEE VTS APWCS 2018), National Chiao Tung University, Hsinchu, Taiwan",,"IEEE Vehicular Technology Society Asia Pacific Wireless Communication Symposium (IEEE VTS APWCS 2018), National Chiao Tung University, Hsinchu, Taiwan",,,,,,,,,,,,,,,,,,,,,1,0,published,2018-06-25 17:57:04,2019-01-21 15:09:18,,
969,Precoding for Full-Duplex Multiuser MIMO Systems Using Duality,inproceedings,Kim2017,"J. Kim, W. Wang; H. Park",,,,2017-12-04,0000-00-00,IEEE Global Communications Conference (Globecom 2017),,,,,,,Singapore,,,,,,,,,,,,,,,,1,0,published,2017-07-28 13:28:09,2018-06-26 11:46:09,,
970,CFO Estimation for QAM-FBMC Systems Considering Non-orthogonal Prototype Filters,inproceedings,H.Park2017,H. Han; H.Park,,,,2017-10-08,0000-00-00,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC 2017)",,,,,,,"Montreal, QC, Canada",,,,,,,,,,,,,,,,1,0,published,2017-08-03 16:27:13,2017-10-23 12:57:30,,
967,An Optimal File Placement for Raptor Coded Caching System,inproceedings,Lee2017,"W. Lee, S.-C. Lim; H. Park",,,,2017-08-23,0000-00-00,The 14th IEEE Vehicular Technology Society Asia Pacific Wireless Communication Symposium (IEEE VTS APWCS 2017),,,,,,,"Incheon National University, Incheon, Korea",,,,,,,,"In this paper, we investigate file placement strategy for Raptor coded wireless caching systems. Based on the decoding error probability of Raptor codes, we analyze the lower bound on the service failure probability of the systems, and investigate a file placement algorithm to construct reliable systems. Simulation results show that the proposed placement strategy not only outperforms other ones, but also nearly approaches to the lower bound with negligible difference. Also, simulations are provided to analyze the effects of various system parameters on the performance of the Raptor coded caching systems.",,,,,,,,1,0,published,2017-06-30 19:38:38,2018-06-26 11:42:10,,
958,Waveform Design for QAM-FBMC Systems,inproceedings,Kim1707:Waveform,"H. Kim, H. Han and H. Park",,,,2017-07-03,0000-00-00,"IEEE 18th International Workshop on Signal Processing Advances in 
Wireless Communications (SPAWC 2017)",,,,,,,"Sapporo, Japan",,,,,,,,"Due to its spectral efficiency and well-localized spectrum, a quadrature amplitude modulation based filter-bank multi-carrier (QAM-FBMC) is considered as one of the candidate for 5G mobile communications. In this paper, we propose a novel waveform design for the QAM-FBMC system considering time dispersion parameter. The utilization of the proposed filter with the real number filter coefficients enables simpler implement than the conventional multiple prototype filters with complex coefficients. Simulation results show that the proposed QAM-FBMC systems has superior spectral efficiency as compared to CP-OFDM. Moreover, a new designed filter shows the improvement in the performance compared with the conventional QAM-FBMC systems on multipath fading channel.",,,,,,,,1,0,published,2017-05-16 17:12:02,2017-07-11 16:08:20,,
