date,year,title,content,status,thumbnail_file,image_files
2012-06-27 15:35:05,2012,2012 하계 workshop,"6월 20일 ~ 22일 
흑산도로 워크샵을 다녀왔습니다. 
좋은추억이될 시간이였습니다.",publish,2012/06/DSC00738.jpg,2012/06/DSC00787.jpg|2012/06/DSC00738.jpg
2012-06-26 15:33:51,2012,2012 하계 워크샵,"6월 20일 ~ 22일 
흑산도로 워크샵을 다녀왔습니다. 
좋은추억이될 시간이였습니다. ",publish,2012/06/aDSC01196.jpg,2012/06/aDSC01196.jpg|2012/06/aDSC00807.jpg
2012-06-26 15:32:23,2012,2012 하계 워크샵,"6월 20일 ~ 22일 
흑산도로 워크샵을 다녀왔습니다. 
좋은추억이될 시간이였습니다.
",publish,2012/06/DSC00936.jpg,2012/06/DSC00936.jpg|2012/06/DSC00862.jpg
2012-05-15 15:30:45,2012,2012 Homecoming Day,단체사진,publish,2012/05/DSC00700.jpg,2012/05/DSC00719.jpg|2012/05/DSC00700.jpg
2012-05-15 15:29:21,2012,2012 Homecoming Day,졸업생 승부차기,publish,2012/05/DSC00481.jpg,2012/05/DSC00526.jpg|2012/05/DSC00481.jpg
2012-05-15 15:28:19,2012,2012 Homecoming Day,"축구시합
",publish,2012/05/DSC00368.jpg,2012/05/DSC00368.jpg|2012/05/DSC00363.jpg
2012-04-16 15:27:16,2012,2012 김재홍 박사과정 결혼식,"2012년 4월14일 김재홍 박사과정의 결혼식이 있었습니다. 
결혼을 진심으로 축하합니다.
",publish,2012/04/SAM_1446.jpg,2012/04/SAM_1460.jpg|2012/04/SAM_1446.jpg
2012-02-27 15:26:02,2012,2012 졸업식,2012년 2월 24일 졸업식이 있었습니다,publish,2012/02/SAM_1281.jpg,2012/02/SAM_1281.jpg|2012/02/SAM_1279.jpg
2012-02-22 15:25:13,2012,2012 임우창 생일,생일 축하 합니다,publish,2012/02/IMG_0611.jpg,2012/02/IMG_0611.jpg
2012-01-30 15:24:11,2012,"2012 신태동, 박휘성 생일",생일을 축하합니다.,publish,2012/01/IMG_0526.jpg,2012/01/IMG_0528.jpg|2012/01/IMG_0526.jpg
2012-01-15 15:23:12,2012,2012 동계 워크샵,"2012년 1월 12일 ~ 13일 
무주로 동계 워크샵을 다녀왔습니다 
좋은 추억이 될 멋진 워크샵이었습니다.",publish,2012/01/SAM_1028.jpg,2012/01/SAM_1028.jpg
2011-09-27 15:21:54,2011,2011 김재완 이종민 생일,"생일 축하합니다♬
",publish,2011/09/2011_09_20_175901.jpg,2011/09/2011_09_20_20.49.38.jpg|2011/09/2011_09_20_175901.jpg
2011-09-09 15:11:24,2011,2011 김진우 생일,생일 축하합니다!!,publish,2011/09/2011_09_01_17.57.44.jpg,2011/09/2011_09_01_17.57.44.jpg|2011/09/2011_09_01_17.57.19.jpg
2011-09-09 15:10:26,2011,2011 김기범 생일,"생일 축하합니다♬
",publish,2011/09/IMG_20110825_190529.jpg,2011/09/IMG_20110825_190529.jpg
2011-08-30 15:07:35,2011,2011 IMWS,계룡산 박물관에서의 banquet,publish,2011/08/P1020988.jpg,2011/08/DSC00174.jpg|2011/08/P1020988.jpg
2011-08-30 14:58:41,2011,2011 IMWS,keynote speech,publish,2011/08/DSC00048.jpg,2011/08/DSC00213.jpg|2011/08/DSC00048.jpg
2011-08-30 14:57:49,2011,2011 IMWS,,publish,2011/08/DSC00314.jpg,2011/08/DSC00314.jpg
2011-08-30 14:56:18,2011,2011 IMWS,,publish,2011/08/P1020944.jpg,2011/08/P1020944.jpg|2011/08/DSC00118.jpg
2011-08-29 20:15:52,2011,2011 IMWS,IMWS 2011 staff 단체 사진,publish,2011/08/DSC00334.jpg,2011/08/DSC00334.jpg
2011-08-29 14:54:34,2011,2011 IMWS,,publish,2011/08/DSC00060.jpg,2011/08/DSC00060.jpg|2011/08/DSC00030.jpg
2011-06-28 20:14:00,2011,"2011 하계 워크샵, 하계종합학술대회","2011년 6월 21일 ~ 24일 
제주도로 하계 워크샵과 함께 하계종합학술대회를 다녀왔습니다. 
오랜만에 휴식을 취하며 즐겁고 유익한 시간을 보냈습니다.",publish,2011/06/P1020680.jpg,2011/06/P1020864.jpg|2011/06/P1020680.jpg
2011-02-18 20:12:30,2011,2011 졸업식,2011년 2월 11일 졸업식이 있었습니다,publish,2011/02/051.jpg,2011/02/059.jpg|2011/02/051.jpg
2010-11-09 20:11:31,2010,2010 추계 워크샵,"2010년 11월 5일 지리산으로 추계워크샵을 다녀왔습니다. 
인월에서 장항교까지 총 7.6km를 트래킹하였습니다. 
신입생들도 함께 하는 뜻깊은 자리였습니다.",publish,2010/11/P1020387.jpg,2010/11/P1020408.jpg|2010/11/P1020387.jpg
2010-10-05 20:09:59,2010,2010 하계 워크샵,"2010년 8월26일부터 8월27일까지 1박 2일동안 홍천 비발디파크 오션월드로 하계워크샵을 다녀왔습니다. 
첫째날은 비발디파크 오션월드에서 물놀이를 하였고 
둘째날은 팔봉산과 서일농원 관광등으로 즐거운 시간을 보냈습니다.",publish,2010/10/P1020347.jpg,2010/10/P1020347.jpg|2010/10/P1020342.jpg
2010-08-23 20:08:53,2010,2010 LIT Homecoming Day,"2010년 5월 15일 LIT Homecoming Day 행사를 개최했습니다. 
연구실에서 스승의 날 행사를 하고 
동대전초등학교에서 재학생 vs. 졸업생 축구를 하고 
The Lee's(더 리스)에서 저녁식사를 하였습니다.",publish,2010/08/20100515homecoming2.jpg,2010/08/20100515homecoming2.jpg|2010/08/20100515homecoming1.jpg
2010-08-23 20:07:11,2010,2010 춘계 워크샵,"2010년 4월 15일 전라북도 전주시로 춘계 워크샵을 다녀왔습니다. 
정둔면옥에서 점심식사를 하고 
경기전, 전동성당, 한옥마을을 구경하였습니다.
",publish,2010/08/20100415spring_workshop.jpg,2010/08/20100415spring_workshop.jpg
2010-08-23 20:04:55,2010,2010 동계 워크샵,"2010년 1월 14일 ~ 15일 
무주로 동계 워크샵을 다녀왔습니다 
좋은 추억이 될 멋진 워크샵이었습니다.",publish,2010/08/20100114winter_workshop.jpg,2010/08/20100114winter_workshop.jpg
2009-12-04 20:02:08,2009,2009 LIT 추계 워크샵,"2009년 10월 30일 
대둔산으로 추계워크샵을 다녀왔습니다 
힘들었지만 가장 오래기억될 멋진 산이었습니다.",publish,2009/12/7.jpg,2009/12/1-2.jpg|2009/12/2-4.jpg|2009/12/3.jpg|2009/12/4.jpg|2009/12/5-1.jpg|2009/12/7.jpg
2009-07-17 19:59:30,2009,2009 LIT 하계 워크샵,"2009년 6월9일부터 6월11일까지 2박 3일동안 남해로 하계워크샵을 
다녀왔습니다. 
",publish,2009/07/5.jpg,2009/07/1-1.jpg|2009/07/2-3.jpg|2009/07/5.jpg|2009/07/6.jpg|2009/07/11.jpg
2009-05-07 19:57:00,2009,2009 IEEE 69th VTC 참석,"2008년 4월 26일~ 29일까지 4일 동안 교수님 및 김광훈, 신철규 학생이 Spain Barcelona에서 열린 IEEE 69th VTC (Vehicular Technology Conference)에 에 참석하였습니다. 
",publish,2009/05/VTC2.jpg,2009/05/VTC1.jpg|2009/05/VTC2.jpg|2009/05/VTC3.jpg|2009/05/VTC4.jpg|2009/05/VTC5.jpg
2009-04-13 19:55:29,2009,2009 김현국 선배님의 결혼식,"2009년 3월 28일에 김현국 선배님의 결혼식이 있었습니다. 
결혼을 진심으로 축하합니다.
",publish,2009/04/090328_1.jpg,2009/04/090328-2.jpg|2009/04/090328-006.jpg|2009/04/090328-6.jpg|2009/04/090328-10.jpg|2009/04/090328-013.jpg|2009/04/090328_1.jpg
